,Department_Name,State,County,City,Ori,Agg_Assult,Sex_Offences,Manslaughter_Neg,Murder_and_Nonneg_Man,Rape,Robbery,Simp_Assult,Humman_Trafficking_Commercial_SA,Humman_Trafficking_Invol_Ser,Offences_Total
263,Lancaster Police Department,CA,LOS ANGELES,Lancaster,CA019960X,783,29,1,3,5,179,429,0,0,1429
268,Chowchilla Police Department,CA,MADERA,Chowchilla,CA0200100,39,1,1,0,1,0,36,0,0,78
269,Madera Police Department,CA,MADERA,Madera,CA0200200,269,30,0,2,8,26,306,0,0,641
273,Belvedere Police Department,CA,MARIN,Belvedere,CA0210100,0,0,0,0,0,0,1,0,0,1
274,Fairfax Police Department,CA,MARIN,Fairfax,CA0210300,11,3,0,0,0,0,16,0,0,30
275,Mill Valley Police Department,CA,MARIN,Mill Valley,CA0210500,10,2,0,0,0,3,9,0,0,24
276,Novato Police Department,CA,MARIN,Novato,CA0210600,86,13,0,0,3,6,101,0,0,209
277,Ross Police Department,CA,MARIN,Ross,CA0210700,1,0,0,0,1,0,0,0,0,2
278,San Rafael Police Department,CA,MARIN,San Rafael,CA0210900,149,29,0,0,5,25,235,0,0,443
279,Sausalito Police Department,CA,MARIN,Sausalito,CA0211000,9,1,0,0,0,1,12,0,0,23
280,Tiburon Police Department,CA,MARIN,Tiburon,CA0211100,3,0,1,0,0,0,2,0,0,6
284,Central Marin Police Department,CA,MARIN,Central Marin,CA0211700,29,1,0,1,0,1,34,0,0,66
289,Fort Bragg Police Department,CA,MENDOCINO,Fort Bragg,CA0230100,34,0,0,0,1,4,41,0,0,80
290,Ukiah Police Department,CA,MENDOCINO,Ukiah,CA0230300,96,3,0,1,1,11,138,0,0,250
291,Willits Police Department,CA,MENDOCINO,Willits,CA0230400,44,1,0,0,0,6,39,0,0,90
295,Atwater Police Department,CA,MERCED,Atwater,CA0240100,62,7,0,0,1,9,165,0,0,244
296,Dos Palos Police Department,CA,MERCED,Dos Palos,CA0240200,26,1,0,0,0,1,22,0,0,50
297,Gustine Police Department,CA,MERCED,Gustine,CA0240300,13,2,0,0,0,1,21,0,0,37
298,Livingston Police Department,CA,MERCED,Livingston,CA0240400,27,2,0,0,1,6,41,0,0,77
299,Los Banos Police Department,CA,MERCED,Los Banos,CA0240500,87,11,2,1,2,16,124,0,0,243
300,Merced Police Department,CA,MERCED,Merced,CA0240600,354,54,1,15,13,48,503,0,0,988
306,Alturas Police Department,CA,MODOC,Alturas,CA0250100,20,4,0,0,1,1,14,0,0,40
310,Mammoth Lakes Police Department,CA,MONO,Mammoth Lakes,CA0260100,35,3,0,0,2,0,25,0,0,65
313,Carmel Police Department,CA,MONTEREY,Carmel,CA0270100,11,1,0,0,0,0,14,0,0,26
314,Del Rey Oaks Police Department,CA,MONTEREY,Del Rey Oaks,CA0270200,0,0,0,0,0,4,3,0,0,7
315,Gonzales Police Department,CA,MONTEREY,Gonzales,CA0270300,19,3,0,0,1,5,27,0,0,55
316,Greenfield Police Department,CA,MONTEREY,Greenfield,CA0270400,58,13,0,2,1,2,60,0,0,136
317,King City Police Department,CA,MONTEREY,King City,CA0270500,17,2,0,0,0,3,12,0,0,34
318,Monterey Police Department,CA,MONTEREY,Monterey,CA0270600,97,11,0,0,3,15,142,0,0,268
319,Pacific Grove Police Department,CA,MONTEREY,Pacific Grove,CA0270700,5,2,0,0,0,5,22,0,0,34
320,Salinas Police Department,CA,MONTEREY,Salinas,CA0270800,381,47,0,7,11,83,351,0,0,880
321,Sand City Police Department,CA,MONTEREY,Sand City,CA0270900,0,0,0,0,0,1,6,0,0,7
322,Seaside Police Department,CA,MONTEREY,Seaside,CA0271000,57,3,0,0,0,2,56,0,0,118
323,Soledad Police Department,CA,MONTEREY,Soledad,CA0271100,36,7,0,0,3,9,63,0,0,118
324,Marina Police Department,CA,MONTEREY,Marina,CA0271200,52,5,0,0,0,2,71,0,0,130
331,Calistoga Police Department,CA,NAPA,Calistoga,CA0280100,7,1,0,0,0,0,11,0,0,19
332,Napa Police Department,CA,NAPA,Napa,CA0280200,173,15,0,1,16,38,161,0,0,404
333,St. Helena Police Department,CA,NAPA,St. Helena,CA0280300,9,0,0,0,0,2,8,0,0,19
336,American Canyon Police Department,CA,NAPA,American Canyon,CA0280900,44,2,0,0,1,1,39,0,0,87
337,Yountville Police Department,CA,NAPA,Yountville,CA0281000,2,0,0,0,0,0,4,0,0,6
340,Grass Valley Police Department,CA,NEVADA,Grass Valley,CA0290100,65,11,0,2,1,5,136,0,0,220
341,Nevada City Police Department,CA,NEVADA,Nevada City,CA0290200,12,1,0,1,0,0,7,0,0,21
343,Truckee Police Department,CA,NEVADA,Truckee,CA0290800,35,3,0,0,1,1,25,0,0,65
346,Anaheim Police Department,CA,ORANGE,Anaheim,CA0300100,737,113,1,15,23,155,775,0,0,1819
347,Brea Police Department,CA,ORANGE,Brea,CA0300200,24,7,0,0,0,5,86,0,0,122
348,Buena Park Police Department,CA,ORANGE,Buena Park,CA0300300,97,21,0,1,4,28,140,0,0,291
349,Costa Mesa Police Department,CA,ORANGE,Costa Mesa,CA0300400,204,34,0,0,6,45,146,0,0,435
350,Cypress Police Department,CA,ORANGE,Cypress,CA0300500,48,6,0,1,2,4,29,0,0,90
351,La Palma Police Department,CA,ORANGE,La Palma,CA0300600,20,3,0,0,0,3,27,0,0,53
352,Fountain Valley Police Department,CA,ORANGE,Fountain Valley,CA0300700,50,2,0,0,1,10,80,0,0,143
353,Fullerton Police Department,CA,ORANGE,Fullerton,CA0300800,308,53,2,2,12,43,541,0,0,961
354,Garden Grove Police Department,CA,ORANGE,Garden Grove,CA0300900,282,43,0,9,18,68,238,0,0,658
355,Huntington Beach Police Department,CA,ORANGE,Huntington Beach,CA0301000,267,40,1,2,4,53,447,0,0,814
356,Laguna Beach Police Department,CA,ORANGE,Laguna Beach,CA0301100,64,8,0,1,3,6,127,0,0,209
357,La Habra Police Department,CA,ORANGE,La Habra,CA0301200,103,25,0,2,4,12,119,0,0,265
358,Los Alamitos Police Department,CA,ORANGE,Los Alamitos,CA0301300,10,1,0,0,0,0,12,0,0,23
359,Newport Beach Police Department,CA,ORANGE,Newport Beach,CA0301400,129,13,0,2,1,25,189,0,0,359
360,Orange Police Department,CA,ORANGE,Orange,CA0301500,188,21,0,1,6,42,240,0,0,498
361,Placentia Police Department,CA,ORANGE,Placentia,CA0301600,87,6,0,2,1,12,89,0,0,197
362,San Clemente Police Department,CA,ORANGE,San Clemente,CA0301700,96,12,0,1,2,9,88,0,0,208
363,San Juan Capistrano Police Department,CA,ORANGE,San Juan Capistrano,CA0301800,59,5,0,0,0,8,45,0,0,117
364,Santa Ana Police Department,CA,ORANGE,Santa Ana,CA0301900,446,116,0,16,46,122,333,0,0,1079
365,Seal Beach Police Department,CA,ORANGE,Seal Beach,CA0302000,26,2,0,1,0,6,46,0,0,81
366,Stanton Police Department,CA,ORANGE,Stanton,CA0302100,63,9,0,2,2,21,46,0,0,143
367,Tustin Police Department,CA,ORANGE,Tustin,CA0302200,164,19,0,2,8,37,178,0,0,408
368,Villa Park Police Department,CA,ORANGE,Villa Park,CA0302300,2,0,0,0,0,0,8,0,0,10
